base_price,discounted_price,product_name,category,brand,description
"7,59","6,20",Gâteau Amandes Orange sans Gluten - 225g,sans-gluten,par Biscuiterie de Provence,"Prix au kilo : 27,6€/kgRetrouvez toutes les saveurs de l'amande dans ces délicieux gâteaux Bio sans gluten ! Goût : Orange. Conditionnement : étui de 225g.Ingrédients : sucre de canne , oeufs entiers , amandes 24%, orange 16%, jus concentré de citron , poudre de vanille Bourbon , pectine de fruit non amidéeValeurs nutr"
"5,10","3,82",Chocolat Noir Vegan au lait d'amande - 100g,sans-gluten,par Ikalia,"Prix au kilo : 38,25€/kgUn délicieux chocolat au lait, vegan et issu du commerce équitable ? Oui c'est possible ! Avec le chocolat Ikalia, vous consommez auprès d'un producteur engagé pour le respect de la Terre et des Hommes. Le cacao équitable du Pérou donne à ce chocolat un goût équilibré et onctueux. Vegan, sans gl"
"6,90","5,11",Flocons de quinoa - 500g,sans-gluten,par Priméal,"Prix au kilo : 10,22€/kgLes Flocons de quinoa bio sont constitués de grains de céréales entiers nettoyés et décortiqués puis cuits à la vapeur. La composition du quinoa est remarquable par sa grande quantité de protéines de haute qualité. Il renferme également du manganèse, du fer et du cuivre en proportion notable. Na"
"18,99","16,45",Lait Nourisson relais Optima 1 bio (0-6 mois) - 900g,sans-gluten,par Babybio,"Prix au kilo : 18,29€/kgBabybio 1 Optima participe dès les premiers mois à l'éducation nutritionnelle de votre bébé. De 0 à 6 mois. Lait origine France. Boite hermétique de 900g.Ingrédients : Lactosérum déminéralisé , huiles végétales (tournesol oléique , colza , tournesol ), maltodextrines de maïs , lait écrémé , phos"
"3,45","2,59",Pain au sarrasin sans gluten - 250g,sans-gluten,par Schnitzer,"Prix au kilo : 10,36€/kgUn succulent pain sans gluten au sarrasin. Ce pain sans gluten est très goûteux et est naturellement riche en fibres et en magnésium.Ingrédients : Levain naturel de sarrasin* (farine de sarrasin complète*, eau), eau, farine de maïs*, farine de soja*, farine de sarrasin complète*, graines de tour"
"4,25","3,18",Petits pains de campagne sans gluten - 240g,sans-gluten,par Nature & Cie,"Prix au kilo : 13,27€/kg4 Petits pains de campagne précuits sans lait, sans gluten et à faire chauffer au four. Ingrédients issus de l'agriculture biologique. Conditionnement : 240g.Ingrédients : Eau, amidon de maïs*, farine de riz blanc*, farine de sarrasin*, farine de millet*, amidon de manioc*, levure springer*, hui"
"3,50","2,53",Bols Mijoté De Légumes Poulet Quinoa (dès 12 mois) - 2x200g,sans-gluten,par Babybio,"Prix au kilo : 6,35€/kg2 bols ""Menu du jour"" Mitonné de légumes au poulet fermier et quinoa, pour les enfants de 12 mois et +. Ingrédients issus de l'agriculture biologique. Contenance : 2 x 200g.Ingrédients : Légumes 54% (carottes des Landes 32%, poivrons d'Espagne 10%, oignons d'Espagne , tomates de la Drôme 4%), eau"
"3,50","2,53",Bols Menu Pot au feu Boeuf Fermier (dès 12 mois) - 2x200g,sans-gluten,par Babybio,"Prix au kilo : 6,35€/kgUn délicieux pot au feu de boeuf d’Aquitaine Babybio pour vos enfants dès 12 mois. Ingrédients issus de l'agriculture biologique. Contenance : 2 x 200g.Ingrédients : Légumes 68% (carottes des Landes 23%, pommes de terre du Val de Loire 19%, panais du Val de Loire 15%, navets de Provence 5%, poire"
"3,50","2,42",Bols Patate Douce (dès 8 mois) - 2x200g,sans-gluten,par Babybio,"Prix au kilo : 9,35€/kg2 Bols Patates Douces Légumes du soleil. Dès 8 mois. Ingrédients issus de l'agriculture biologique. Contenance : 2 x 200gIngrédients : Légumes 84,5% (patates douces d'Espagne 38%, carottes des Landes 25%, poivrons d'Espagne 9%, oignons d'Espagne , purée de tomates d'Italie 5%), eau de cuisson, ri"
"7,59","6,20",Gâteau Amandes Chocolat sans Gluten - 225g,sans-gluten,par Biscuiterie de Provence,"Prix au kilo : 27,6€/kgRetrouvez toutes les saveurs de l'amande dans ces délicieux gâteaux Bio sans gluten ! Goût : Chocolat. Conditionnement : étui de 225g.Ingrédients : sucre de canne , amandes 30%, oeufs entiers , beurre de baratte , cacao 4%, poudre de vanille BourbonValeurs nutritionelles ajoutées très bientôt"
"5,10","3,82",Chocolat noir Vegan 70% Cranberry Myrtille et Goji - 100g,sans-gluten,par Ikalia,"Prix au kilo : 38,25€/kg Un chocolat noir aux superfruits pour vous donner un boost d'énergie. Le magnésium du cacao associé aux bienfaits de la canneberge, des myrtilles et des baies de goji pour un mélange détonant, acidulé et originalIngrédients : Pâte de cacao*; sucre de fleur de coco*: 22%; beurre de cacao*; baie "
"7,59","6,20",Gâteau Amandes sans Gluten - 225g,sans-gluten,par Biscuiterie de Provence,"Prix au kilo : 27,6€/kgRetrouvez toutes les saveurs de l'amande dans ces délicieux gâteaux Bio sans gluten ! Goût : nature. Conditionnement : étui de 225g.Ingrédients : sucre de canne , amandes 32%, oeufs entiers , beurre de baratte , poudre de vanille BourbonValeurs nutritionelles ajoutées très bientôt"
"18,49","15,50",Lait De Suite Relais Optima 2 bio (6-12 mois) - 900g,sans-gluten,par Babybio,"Prix au kilo : 17,23€/kgNouveau packaging, recette inchangée.Ingrédients : Maltodextrines de maïs , lait écrémé , huiles végétales de première pression à froid (tournesol oléique , colza ), lactose , concentré de minéraux du lait (calcium), minéraux : citrate de sodium, chlorure de magnésium, chlorure de potassium, lac"
"3,60","2,68",Pain Complet Riz & Graines de Tournesol Sans Gluten - 375g,sans-gluten,par Pural,"Prix au kilo : 7,15€/kg Le Pain complet aux graines de tournesol est un pain complet au seigle cuit au levain avec des céréales bio fraîchement moulues. Les + produit : . Certifié bio . Sans lactose . Riche en fibres . Idéal au petit-déjeuner ou au goûterIngrédients : Céréales* 53% (riz complet* fraichement concassé 38"
"5,99","4,74",Muesli au Sarrasin - 500g,sans-gluten,par Grillon d'or,"Prix au kilo : 9,5€/kgChoisissez le Muesli au Sarrasin de Grillon d'Or pour démarrer la journée avec un petit déjeuner sain et équilibré ! Sachet de 500g.Ingrédients : Flocons de sarrasin 38%, sirop de riz (extraits de riz , eau), pétales de sarrasin 10% (sarrasin 98%, sel), sarrasin soufflé 10%, miel , pommes , kasha "
